Pairs ;Book;Publication year;;;;;;;
;;Source;Translation1;Translation2;Translation3;src_link;tgt1_link;tgt2_link;tgt3_link
\enDe;Frankenstein ;1818;1831;2018;2017;https://www.gutenberg.org/files/84/84-h/84-h.htm;https://www.gutenberg.org/files/84/84-h/84-h.htm;https://www.projekt-gutenberg.org/shelley/frankens/frankens.html;https://www.penguin.de/leseprobe/Frankenstein-oder-Der-moderne-Prometheus-Roman/leseprobe_9783717523703.pdf
;Jane Eyre;1847;1864;2020;2008;https://www.gutenberg.org/files/1260/1260-h/1260-h.htm;https://www.projekt-gutenberg.org/brontec/janeeyre/titlepage.html;https://www.reclam.de/data/media/978-3-15-020592-1.pdf;https://www.penguin.de/leseprobe/Jane-Eyre/leseprobe_9783866472280.pdf
;Wuthering Heights;1847;1941 ( Alfred Wolfenstein);1949 (Siegfried Lang);;https://www.ucm.es/data/cont/docs/119-2014-04-09-Wuthering%20Heights.pdf;https://www.projekt-gutenberg.org/brontee/umwitter/chap001.html;https://www.penguin.de/content/edition/excerpts_extended/Leseprobe_978-3-328-10859-7.pdf;
;Birnan Wood;2023;2023;;;https://www.google.de/books/edition/Birnam_Wood/16ygEAAAQBAJ?hl=en&gbpv=1&dq=Birnam+Wood&printsec=frontcover;https://www.google.de/books/edition/Der_Wald/ZC7hEAAAQBAJ?hl=en&gbpv=1&dq=eleanor+catton&printsec=frontcover;;
\deen;Death in Venice;1912;1925;2012;2021;https://www.gutenberg.org/ebooks/12108;https://www.royalbooks.com/pages/books/156516/thomas-mann-kenneth-burke-author/death-in-venice-first-edition;https://www.google.de/books/edition/Death_in_Venice/PjbCAgAAQBAJ?hl=en&gbpv=0,;https://www.google.de/books/edition/Death_in_Venice/ca8REAAAQBAJ?hl=en&gbpv=0
;The Metamorphosis;1915;2003;2003;2014;https://www.gutenberg.org/cache/epub/22367/pg22367.txt;PAR3: https://www.google.de/books/edition/The_Metamorphosis_and_Other_Stories/UbXlAhQvKTQC?hl=en&gbpv=0 Donna Freed;https://johnstoniatexts.x10host.com/kafka/metamorphosishtml.html;https://www.google.de/books/edition/The_Metamorphosis_A_New_Translation_by_S/ZRYfAgAAQBAJ?hl=en&gbpv=0
;Steppenwolf;1927;2013;2012;;https://media.suhrkamp.de/mediadelivery/asset/15b51e16dcfe4ed1a31132e334a81f30/der-steppenwolf_9783518463550_leseprobe.pdf?contentdisposition=inline;https://www.google.de/books/edition/Steppenwolf/2akU-k9xIQ0C?hl=en&gbpv=0;https://www.google.de/books/edition/Steppenwolf/jQSe1QvG4CkC?hl=en&gbpv=0;
;Kairos;2021;2023;;;https://www.thalia.de/shop/home/artikeldetails/A1060451987;https://www.google.com/books/edition/Kairos/MW-nEAAAQBAJ?kptab=editions&gbpv=1;;
\dezh;The sorrows of young werther;1774;2018;1980;;https://www.gutenberg.org/ebooks/2407;https://www.dedao.cn/ebook/reader?id=Jjrvne28LQ2OjoRqkgdnmJX6NADGlWxdKlBWx1KvbBz97eaMP4VZrpEYy5VB6adN;https://www.dedao.cn/ebook/reader?id=6JvkYVNn8NXVry5MeG6Z9RALK2dxJ3Ggqd37olBEmjgakz1DPvYObQ4qpQdZqme9;
